,videoId,text,likeCount,published
39,6nCTgra84_8,벨로나 존ㄴ 매력있다,6,2026-08-09 04:29:27+00:00
1281,9saj1Kg7S1I,"레테하면서 하드 데미안까지 해치우고 276에 전투력 3300만까지 만들긴했는데 힐라에서 막혔어요 ㅠㅠ 패턴도 나름 다 익혔는데도 똥손이라..
무조건 제네시스 해방을 해야 한다고 하셨지만 한국 휴대폰도 카드도 없어서 지인찬스로 겨우 만든 계정에, 캐시 충전도 어려워서 패스도 못샀고요. 진짜 어떻게 해야하나요?",1,2026-08-09 04:07:52+00:00
26,6nCTgra84_8,노래 뭔가요?,0,2026-08-09 03:52:24+00:00
59,6nCTgra84_8,흉성도 이지모드 좀,0,2026-08-09 03:48:52+00:00
48,6nCTgra84_8,어흐..,0,2026-08-09 03:46:24+00:00
45,6nCTgra84_8,홀로 싸우고 있는 이데아는 어떻게 되었을까요.?,1,2026-08-09 03:42:03+00:00
43,6nCTgra84_8,존나 가지무침,4,2026-08-09 03:41:17+00:00
44,6nCTgra84_8,8.9면 노벨 솔플 널널컷 가능?,0,2026-08-09 03:30:57+00:00
41,6nCTgra84_8,이쁜 명찰반지 이벤이나 해라 벨로나,0,2026-08-09 03:27:06+00:00
37,6nCTgra84_8,벨로나 너무 무서워서 못들어갈듯,15,2026-08-09 03:20:11+00:00
60,6nCTgra84_8,마깃안 루컨마가 1자릿수 억대로 떨어질까?,0,2026-08-09 03:16:00+00:00
46,6nCTgra84_8,벨로나 무서웡 ㅠ,0,2026-08-09 03:14:14+00:00
52,6nCTgra84_8,신규보스도 나왔는데 신창섭은 하버를 풀어랏!!!,5,2026-08-09 03:14:06+00:00
27,6nCTgra84_8,라방 어찌될지 벌써부터 예상되넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 채팅창부터 김창섭 표정까지 볼만할듯,23,2026-08-09 03:09:54+00:00
17,6nCTgra84_8,영상 짧아서 공연영상 넣은 맑음은 개추,111,2026-08-09 03:09:34+00:00
50,6nCTgra84_8,"드디어 마깃대가 대체되는구나
굶핏혼 딱대",1,2026-08-09 03:07:41+00:00
57,6nCTgra84_8,음... 미하일 상향버프에 관한 소식은 없나요??,6,2026-08-09 03:07:06+00:00
42,6nCTgra84_8,우효,0,2026-08-09 03:05:48+00:00
19,6nCTgra84_8,굿굿,3,2026-08-09 03:05:44+00:00
18,6nCTgra84_8,재빠른 정보 ㄷㄷ,1,2026-08-09 03:05:38+00:00
1283,9saj1Kg7S1I,카이에 꺾인 메린이.... 정작 카이 뒤에 보스들은 메이린 빼고 다 잡음 ㅋㅋㅋ,1,2026-08-08 22:50:01+00:00
1284,9saj1Kg7S1I,1억 투력 가는데 메소는 평균적으로 대략 얼마쯤 드나요,1,2026-08-08 19:47:56+00:00
1286,9saj1Kg7S1I,헐... 목소리가 바꼈다...,1,2026-08-08 19:41:50+00:00
1288,9saj1Kg7S1I,내일부터 메이플복귀할려하는데 괜찮을까요?? 아니면 이번이벤트끝나고 복귀할까요..?,1,2026-08-08 18:14:22+00:00
1290,9saj1Kg7S1I,"아델장아찌 <- 솔직히 챌린저는 어려울 것 같고 플라즈마 하트 교환권이 있는 다이아가 목표인 메린이입니다. 어떻게어떻게 해서 4천만까지 왔는데 하드 진힐라, 하드 듄켈, 노말 메이린 해야 딱 5만점 할 것 같더라고요. 아직까지 희망이 있을까요..? 너무 똥손이라 걱정입니다 ㅠㅠㅠ (심지어 제내 패스도 안함..)",1,2026-08-08 17:44:33+00:00
1293,9saj1Kg7S1I,챌섭 코인샵 활용법 링크가 없는건가요 ?? 제목이 틀린가요 ? 그리구 지금 제네시스 3단계고 355 흔적입니다 이번주 보스를 다 잡은 상태에서 제네시스 패스를 구매했는데 다 얻을수있을까요?,1,2026-08-08 17:37:06+00:00
87,9mbc6ESMMvo,형님 메m 렌 이벤트 공략좀 올려주세요,0,2026-08-08 17:35:31+00:00
1295,9saj1Kg7S1I,제가 진짜 메이플 아예 처음인데 환산주스텟 이게 뭔지 자세히 설명이랑 어떻게 해야 하는지 영상이나 댓글 남겨 주실수 있나요,1,2026-08-08 17:17:24+00:00
