title,author,datetime,content,url
상위? 중상위? 보스 팟격 어떻게 구하시나요들,,2026-06-30 19:05,"곧 8만 찍히는데 림보 익검 익세 3~4인 구해야되는데 어지럽네요
파티 구하는 채널이 따로 있나요? 라운지 같은",https://www.inven.co.kr/board/maple/2300/358536
안녕하세요 이번에 시즌4 유입뉴비입니다! 질문 있어요!,메아솔,2026-06-30 18:51,"큰맘먹고 3석펫 이번시즌기수 질렀어요 근데
외형이 별로 맘에 안들어서 그러는데 다른 예쁜펫 외형을 덧입힐 수 있나요!?",https://www.inven.co.kr/board/maple/2300/358535
메린이 노말세렌 이지칼로스 가능할꺼같음??,Funnn,2026-06-30 18:45,"메린이 노말 세렌 배율 165퍼, 이지 칼로스 121퍼인데 가능할꺼같음??
검마 솔격 난이도 보다 어려움?? 검마 138퍼로 11시간 트라이 박다가 3페 개딸피 남기고 계속 리트 박아서 못깼는디",https://www.inven.co.kr/board/maple/2300/358534
200 카르마 레전잠재 거공에 발라두되여?,도오너,2026-06-30 18:34,"카르마 레전잠재  에메랄드 달성해서 받았는데
그다음 보상은 제네무기에 지르는거 까진 오케이인데  미트라 레전이구 보조도 레전이라
이러면
페어리에 질러야하나용?
혹 아니면 레전 거공을  깡통 or 18성 사먹는게 훨 났나요..?
2칠흑입니당 지금,,,",https://www.inven.co.kr/board/maple/2300/358533
챌섭 다이아 250물약,,2026-06-30 18:31,"챌섭 다이아 250물약
1렙에 먹여도 250 되는건가요??",https://www.inven.co.kr/board/maple/2300/358532
"전엔 경험치 bm효율표 감사하게 누가 공유해주셨었는데,",,2026-06-30 18:29,"280렙 앵컴이 악몽보다 효율 좋던데,
5단계로 줄면서 메포가 줄었는데
지금도 앵컴이 효율 좋을까요?
혹시 아시는 고수분?!
감사합니다.",https://www.inven.co.kr/board/maple/2300/358531
챌섭 메린이 여명4셋이후 스펙업은 어떤거해야하나요?..,얌히,2026-06-30 17:59,"미트라는 없습니다
스펙업이라는 개념을 안가지고살았는데..
온몸비틀기 메생최초 하드진힐라에서 고근이
드는바람에 60억정도있으면 다음 스펙업은 뭘해야하나요?..",https://www.inven.co.kr/board/maple/2300/358530
형들 작년렌유입 복귀하려는데 템세팅조언좀,갈수있을까,2026-06-30 17:20,"이번에 복귀해서 레드달아놓고 챌섭에 보마 키우고있는데 (현재 이적자까지 깸)
작년여름 챌섭에 렌 키우다가 본섭 리프해놓고 접었는데 현재 템 상황임
하드세렌까지만 돌리려는데 템세팅 조언좀...컨이 좋진않아서 완전 딱컷은 힘들듯한데
지금생각중인게 18아케인 장갑, 견장, 신발, 망토/ 18에테 모자,상,하의? (12로 해도 되는지) 18여명 4셋 나머지 대충둘둘 할까생각중인데 괜찮으려나?
세팅을했을때 어떤보스까지 견적이 되는지 모르겠어서 물어봄 알려줘 메짱형들",https://www.inven.co.kr/board/maple/2300/358529
메린이 엠블 잠재 옵션 질문 드려요!,쯔란만두,2026-06-30 17:17,"이번 챌섭 유입한 메린이 인데 이번에 엠블램을 좀 맞춰보려고 하는데
​
윗잠 방무40 공9공9 랑 공12공12 중에 고민중에 있습니다
​
챗지피티는 방무40이 더 좋다고 하는데 공24 짜리가 전투력은 더 높게 나오는데 혹시 어떤게 더 좋을까요?
마을 방부는 97.7 나오고 가격은 둘 다 비슷 합니다",https://www.inven.co.kr/board/maple/2300/358528
드메링(재획용)과 스탯링(보스용)을 어떻게 세팅 해야하는지 궁금합니다.,Poste,2026-06-30 17:12,"옛날 검마가 짱먹던시절 접었다 요번에 챌섭으로 돌아온 복귀유저입니다.
지금 링이 이렇게 있습니다.
총 5개 이벤3링(레전, 드or메 + 스탯9%) + 이터널플레임링(유닉, 스탯15%) + 실버블라썸(에픽, 스택12%)
소재획 먹으면 메161%/드120%(?) 정도 되는것 같습니다.
보스잡을때, 리레/컨티 + 이터널 + 실버블라썸 + 이벤링1개 끼고 잡고있는데요. (보장 9셋)
이벤링은 잠재가 싹 레전이기도 하고 이벤링 전용 큐브가 좀 넉넉하게 남아있어 아깝다 생각이 드는 상태입니다.
궁금한점은,
1. 이벤링 큐브로 이벤링을 스탯21%만들고, 일반링(Non-이벤링)에 드or메 옵션 달린걸 사느냐?
2. 이벤링 큐브를 그냥 쓰지말고(유통기한 지나 날리고), 스탯 잘뽑힌 일반링을 사느냐?
입니다.",https://www.inven.co.kr/board/maple/2300/358527
환산주스탯 사이트 스펙업순서 보는법,루닐,2026-06-30 16:58,저거 색깔이랑 숫자 무슨뜻이고. 무슨색이 제일 좋다는건지 설명좀 해주실분... 그리고  불꺼진건 뭐고 왜 저기까지만 불이켜져있는건지. 설명좀해주시면 감사합니다 ㅠ,https://www.inven.co.kr/board/maple/2300/358526
찐 메린이 입니다... 살려주세요,키위향발냄새,2026-06-30 16:51,"메린이 진로 상담좀 부탁드립니다.
렌 재밌어서 하다보니 3석펫도 지르고 코디도 지르고 페어리 쌍레도 찍고 템도 사다보니 블랙까지 찍어버렸는데 이래저래 현명하지 못한 현질을 한거 같아서 이후 방향이라도 잘 잡아보려고 합니다.
일단 템 세팅은 밑에처럼 가져가긴 했는데 이후에 어떻게 가야 할까요. 유튜버 분들 하라는데로 하다보니 욕심생겨 현질을 해버리는 바람에...ㄷㄷ
미트라 질러버릴까 하다가 가격 보고 본썹 넘어가서 가격 떨어지면 사야지로 태세전환 하긴 했는데
여기서 드메 100/100을 먼저 만들고 사냥 돌리는게 나을까요? 벨트 자쿰이랑 찐 도미 까지만 사는 정도로 해서...
아직 보스 공부가 안되서 최소컷으로 깨기는 어렵더라구요.. 노말 루시드, 윌, 하드 스우까지 잡았고, 챌썹 목표는 사파~다이아 입니다.
콘텐츠도 질문 있는데요... 주간 보스 다 돌았는데 할게 사냥 말고 없더라구요? 일퀘 몬파 등등 하고 사냥만 1-2재획 정도로 하고 있는데 이게 맞나요..? 뭐 놓치고 있는거 같아서요...",https://www.inven.co.kr/board/maple/2300/358525
마빌 채광을 들어갈 수가 없음ㅠㅠ,강클팍,2026-06-30 16:36,"튜토퀘? 같은거 다 깼는데 채집은 들어가지고
채광은 입장 목록에 뜨질 않음",https://www.inven.co.kr/board/maple/2300/358524
5석펫 질문 있습니다..,안나옴,2026-06-30 16:31,"이번에 이벤트로 받은 자석펫을 포함해서 스카니아에 5석펫을 보유 중인데요.
3석 + 2석으로 5석 효과를 받을 때, 2석펫을 재료로 사용하면 증발하나요?
그리고 나중에 월드 리프가 생기면 그때 다른 월드로 들고 갈 수 있을까요?
찾아봐도 정보가 안 보여서 질문글 올려봅니다. ㅠㅠ",https://www.inven.co.kr/board/maple/2300/358523
뉴비 자석펫 질문이있습니다,Soulranster,2026-06-30 16:15,"2년전에 자석펫 한마리 입양하고 오랫만에 복귀했습니다.
자석펫 세트효과 받으려면 마우스 올려서 보이는 애들 3마리 모여야지만 세트효과 받나요? 최신 자석펫 같이껴도 세트효과 받을수있나요?",https://www.inven.co.kr/board/maple/2300/358522
검마 템세팅좀 봐주실수있을까요,제로투눈나,2026-06-30 15:40,"닉: 무적이없을까 직업:보마
검마 145퍼인데 템세팅 더올릴만한게있을까요? 아직 빡세서;;
심볼은 아케인18렙 어센틱 5렙",https://www.inven.co.kr/board/maple/2300/358521
뉴네임옥션 폰으로도 할 수있나용 .. ?,,2026-06-30 15:31,"와이프 이름이 나와서 구매하려는데..
이거 구매하려고 회사에 노트북도 챙겨왔는데 ;;
마감임박되니까 입찰자가 엄청 붙네요 다들 일할시간일텐데..
혹시 폰같은걸루 간편하게 하는 방법도 잇눈곤가요 ?",https://www.inven.co.kr/board/maple/2300/358520
