title,category,views,question_intent
자석펫 vs 스펙업,아이템,2159,선택·추천
완전 첫 캐릭으로 키우는 메린이인데…첫 해방후 어떻게해야할지에 대해서,아이템,767,우선순위
어제 막 챌찍은 메린이 진로질문있습니다,기타,537,선택·추천
첫해방 뉴비 렌 템진단 부탁드려요 하드메이린 잡고싶어요,아이템,715,선택·추천
메린이 렌 보조 윗잠 두줄 매물 사도 되나요?,아이템,829,가능·적정성
복귀 뉴비인데 챌린저스에서 장신구 직작 해도 되나요?,아이템,411,가능·적정성
제네패스 질문있습니다,기타,569,가능·적정성
뉴비 에디 질문점,아이템,443,기타 질문
에디에픽2줄 이거 가능한걸까요.. ?!?,아이템,1767,가격·시세
잠재옵션 어떤걸 뽑아야하나요? 뉴비 도와주세요..ㅠ,아이템,571,우선순위
첫해방 메린이 제네시스무기 도와주세요ㅜㅜ,아이템,707,문제 해결
메청소년 진로 도움!!!!,기타,405,가격·시세
전투력 2억 뉴비 엔버 도와주세요,아이템,671,문제 해결
전투력 2천만 뉴비입니다. 템세팅 질문있습니다.ㅠㅠ,아이템,558,방법·공략
복귀뉴비 아크 템세팅 질문입니다...,아이템,323,기타 질문
모험가 22성 나오면 18둘둘로 하드 메이린 가능할까요?,아이템,850,가격·시세
뉴비 질문있습니다,기타,360,가능·적정성
뉴비 첫 해방 무기,아이템,653,기타 질문
뉴비 레테 미트라 구매 질문,아이템,496,선택·추천
메 뉴비 마법사(레테) 엠블럼 질문 있습니다!,직업,362,방법·공략
메이플은 쩔? 버스? 같은거 없나요??,기타,572,가격·시세
메이플 뉴비 추옵도 가격을 받을수있나여?,시세,484,가격·시세
초보인데 메이플 좋은직업이있을까요,기타,709,선택·추천
메잘알 형들 나로 질문이요ㅜㅜ,직업,426,선택·추천
뉴비 반지 질문,아이템,511,방법·공략
뉴비 미트라 질문,아이템,703,가능·적정성
"뉴비 블큐, 화에큐 사용처 질문점여",아이템,593,기타 질문
챌섭 레테 이지칼로스 104퍼,기타,628,기타 질문
뉴비 렌 해방 잠재 질문합니다!,아이템,425,기타 질문
mvp 레드만 유지하고 블랙으로 가긴 싫은데 질문있습니다,기타,753,우선순위
이번 유입 앞으로 템세팅 관해서 여쭤봅니다,아이템,403,가격·시세
뉴비 미트라 잠재 뭐 선택해야할까요,아이템,680,선택·추천
경험치 bm 문의드려요,기타,536,가능·적정성
뉴비 보조 vs 미트라 둘중 뭘 사는게 좋을까요,아이템,1075,선택·추천
제네시스 해방무기 옵션 질문 드립니다.,아이템,4863,문제 해결
보공 비율이 너무 높은거 같아 고민입니다..,아이템,535,가능·적정성
핵사환산과 환산,직업,529,가능·적정성
챌섭뉴비 템 가이드 부탁드립니다ㅠ,아이템,684,우선순위
복귀유저 직업추천좀 해주세용,직업,467,선택·추천
"복귀 템셋팅 질문 익스우, 노적자 널널컷정도",아이템,625,기타 질문
신규유입 챌섭 모멘텀패스,아이템,802,가격·시세
제네패스 플러스 코인 어디다 써야할까요?,아이템,900,가능·적정성
뉴비 잠재 어떻게 해야될까요,아이템,395,가능·적정성
템 진로상담 해주실분,아이템,423,우선순위
해방무기 작 하는 거 질문,아이템,478,우선순위
메린이 템 셋팅 질문!!,기타,414,우선순위
메린이 챌린저 이후 진로봐주실분..,기타,462,우선순위
이거 좋은건가요?,아이템,474,가능·적정성
뉴비 템세팅 고견 주실 수 있을까요?,기타,448,기타 질문
메린이 챌섭 무보엠 세팅 질문있습니다,아이템,425,가능·적정성
이제 하드진힐라 잡고 다이아 찍은 뉴비 진로 좀 부탁드려요,아이템,430,기타 질문
뉴비는 챌섭에서 방어구나 장신구 어떻게 맞춰야 하나요?,기타,670,가격·시세
제네시스패스 너무 어려워요,퀘스트,4249,가능·적정성
챌섭 유입 블래스터 챌린저 템세팅 질문드려요,아이템,442,방법·공략
PC방 자석펫 질문,기타,501,기타 질문
챌 유입 제논 템셋팅 및 템업글 직작 조언 부탁드림다!,아이템,509,선택·추천
뉴비 제네시스 무기 작 질문드립니다.,아이템,588,기타 질문
첼섭유입 뉴비 템세팅 고민이 큽니다,아이템,539,우선순위
검마 데카,몬스터,579,가능·적정성
렌 코어 강화 관련 질문,직업,503,선택·추천
메린이 비욘드버닝 도와주세요ㅠㅠ,기타,523,가능·적정성
드메템 효율,아이템,1071,가격·시세
챌섭뉴비 레테 템 진로 잘 짠걸까요??,아이템,856,우선순위
뉴비 260찍고 받는 에르다솔 교환권 쓰면,기타,492,기타 질문
챌섭 유입 템세팅 조언 질문드려요!,아이템,510,우선순위
챌섭 유입 메린이 템세팅 질문 있습니다 !!,아이템,492,우선순위
이번유입 템셋팅질문..!,아이템,458,선택·추천
뉴비 챌린저하고 싶은데 바닥부터 진로상담 부탁드립니다,기타,678,가격·시세
형님들 메이플 id관련좀 알려주십숑,기타,532,가능·적정성
